location,query,title,url,followers
Craiova,vanzari,"Închirieri , Vanzari , Imobiliare Craiova | Facebook",https://www.facebook.com/groups/407042830088451/posts/1744784576314263/,18000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1740043103206024/,60000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1731807580696243/,60000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1790048574872143/,34000
Craiova,vanzari,INFO TRAFIC CRAIOVA ȘI DOLJ ,https://www.facebook.com/groups/233002110384364/,41000
Craiova,vanzari,"Cumpar apartament in Craiova , cu 2,3 camere, etaj 1,2 sau bloc ...",https://www.facebook.com/groups/case.vile.craiova/posts/1594206447928042/,20000
Craiova,vanzari,Vanzari Auto Craiova | Facebook,https://www.facebook.com/groups/225530988773004/posts/1215456899780403/,17000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1770465190163815/,59000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1778376689372665/,60000
Craiova,vanzari,Vanzari Auto Craiova | Facebook,https://www.facebook.com/groups/225530988773004/posts/1300692397923519/,47000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1758052511405083/,59000
Craiova,vanzari,"Vând casă recent renovată în Băleasa, județul Olt. Distanța față ...",https://www.facebook.com/groups/case.vile.craiova/posts/1553199245362096/,165000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1790744788135855/,61000
Craiova,vanzari,"Închirieri , Vanzari , Imobiliare Craiova | Facebook",https://www.facebook.com/groups/407042830088451/posts/1763671934425527/,18000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1793348244542176/,61000
Craiova,vanzari,Vanzari Craiova Dolj | Facebook,https://www.facebook.com/groups/723647868178891/posts/1781285152415152/,61000
Craiova,vanzari,Vanzari Auto Craiova | Facebook,https://www.facebook.com/groups/225530988773004/posts/1272778784048214/,18000
Buzau,esti din,Cocorico angajează la Buzău,https://www.facebook.com/groups/MediaLocalaBuzau/posts/3965232213761919/,90000
Buzau,esti din,150 negociabil. Colectare din Buzau!!!Mesaj in privat.,https://www.facebook.com/groups/314710896781426/posts/1036721491247026/,19000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9048367285225139/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9605634676165061/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9113113805417153/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9640010286060833/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9385262444868953/,93000
Buzau,esti din,"Dovleci mari cu aranjament, cu RIDICARE DIN BUZAU pe 6-7 ...",https://www.facebook.com/groups/314710896781426/posts/1036281711291004/,19000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9106358689425998/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9089363064458894/,30000
Buzau,esti din,Realizez torturi din dulciuri ambalate! Prețul este în funcție de nr ...,https://www.facebook.com/groups/314710896781426/posts/1036673357918506/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9164065930321940/,93000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9647929755268886/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9159289134132953/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9604548232940372/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9604548232940372/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9647251318670063/,23000
Buzau,esti din,BUZĂU: Doar o singură farmacie deschisă NON-STOP,https://www.facebook.com/groups/625200794208539/posts/9158123167582883/,30000
